Source,Target,Weight
1425,70,2
1425,2115,1
1425,1496,3
1425,1639,3
1425,185,1
1425,780,2
1425,1379,1
1425,1522,9
1434,1220,1
1434,1444,1
1439,2044,7
1449,1799,3
1454,1522,29
1454,1228,11
1454,1076,6
1454,1122,3
1456,350,2
1459,596,2
1459,657,1
1461,1385,1
1462,2096,5
1462,101,12
1462,431,16
1462,1522,4
1462,2127,2
1462,1368,2
1462,1385,1
1463,2306,7
1464,2151,4
1465,669,1
1465,743,1
1466,1699,1
1466,1676,1
1466,1895,1
1466,2302,6
1466,77,1
1472,1347,1
1472,1223,2
1486,2330,1
1532,328,4
1532,1709,2
1541,276,1
1475,1410,1
1480,307,13
1481,234,1
1481,1481,3
1483,1768,1
1490,192,1
1499,2076,1
1499,1677,1
1499,1017,1
1499,1677,1
1499,138,1
1499,1130,1
1499,1715,1
1502,1678,8
1502,2140,6
1502,792,2
1502,637,1
1502,713,6
1505,1522,1
1507,1185,2
1511,1034,2
1511,600,1
1511,386,1
1511,1779,1
1511,535,30
1511,2115,3
1511,2337,1
1517,1927,2
1528,535,1
1528,2337,2
1544,2337,1
1544,1165,1
1550,611,1
1561,1197,1
1563,1279,1
1564,590,3
1565,586,2
1567,2151,2
1567,941,1
1568,616,3
1568,616,4
1568,1385,2
1568,2236,3
1568,1348,6
1569,2302,20
1569,406,3
1569,1410,1
1569,1348,4
1574,1574,2
1577,2188,1
1593,941,1
1619,1619,3
1583,1410,5
1583,2086,3
1583,376,5
1583,2096,1
1583,376,3
1583,1410,2
1583,376,1
1583,376,1
1587,1207,2
1590,336,6
1595,904,2
1595,1508,1
1596,593,7
1596,535,9
1598,1220,1
1600,1385,1
1600,1484,4
1600,1278,2
1600,497,4
1600,1385,1
1600,1526,1
1602,2039,3
1601,2234,2
1604,0,29
1604,618,21
1604,1444,6
1607,1607,2
1607,1633,1
1612,1537,1
1613,965,4
1616,1422,4
1622,760,2
1644,1677,1
1653,1653,1
1624,1261,1
1626,478,1
1629,1278,1
1629,1741,1
1629,168,5
1631,26,2
1635,1169,1
1656,892,1
1663,1390,1
1663,664,1
1665,2151,1
1665,2294,2
1667,241,1
1667,1096,1
1672,851,1
1682,431,5
1682,734,13
1682,1044,1
1682,1220,3
1685,262,2
1687,703,1
1691,883,1
1691,1698,2
1691,1221,2
1691,1524,1
1691,1076,1
1691,1115,2
1691,1814,3
1691,1220,7
1693,1693,2
1694,381,3
1697,459,5
1711,1711,5
1711,1711,4
1711,1711,4
1711,1711,3
1716,1523,2
1716,1929,2
1716,1114,2
1716,1221,3
1716,851,2
1716,168,4
1716,965,2
1716,440,2
1716,440,5
1717,600,1
1720,431,1
1734,440,1
1739,156,1
1743,1591,2
1745,1385,1
1745,1504,4
1754,1545,2
1754,2242,1
1760,1715,16
1760,1452,397
1827,1056,3
1758,115,1
1759,1759,1
1759,1759,2
1759,1759,2
1759,1759,2
1759,1759,1
1759,1759,2
1767,1929,1
1772,535,8
1772,535,4
1772,535,7
1772,535,8
1775,1775,1
1773,2314,1
1776,2337,1
1783,468,1
1783,276,1
1785,2115,1
1785,440,1
1785,269,2
1785,518,1
1785,234,1
1785,2115,1
1785,1221,2
1785,1080,1
1785,229,1
1785,2039,1
1785,370,1
1785,718,1
1785,535,3
1785,1727,1
1785,1959,2
1785,370,1
1786,431,9
1786,484,4
1786,1187,1
1786,431,1
1786,1385,1
1786,1522,1
1786,1522,1
1786,2076,2
1786,440,1
1786,484,1
1786,1385,1
1786,758,3
1786,431,1
1786,657,6
1786,137,1
1786,431,1
1786,431,1
1788,1380,58
1788,2153,3
1788,2153,4
1790,1221,2
1790,1220,1
1790,1494,1
1790,1221,1
1790,1015,3
1792,1492,1
1810,941,213
1810,596,3
1810,1608,1
1802,0,4
1805,459,3
1813,1522,18
1813,1385,2
1813,440,1
1818,1346,1
1818,1645,3
1818,1533,1
1818,1768,35
1836,1715,3
1837,2151,1
1842,1272,1
1843,1639,1
1845,593,1
1848,2115,1
1849,358,1
1852,664,3
1852,536,4
1852,1664,4
1852,625,2
1852,1779,3
1852,459,1
1857,2302,1
1859,851,1
1859,760,1
1862,126,3
1862,358,1
1862,1846,3
1868,507,1
1869,1442,1
1869,1419,1
1870,982,7
1870,1523,1
1870,1279,1
1870,826,2
1871,2234,2
1875,1385,20
1875,863,1
1875,2151,1
1875,431,5
1876,1114,1
1882,1138,2
1881,666,1
1883,881,4
1884,1385,1
1884,1452,1
1886,2348,11
1888,1888,2
1892,1923,1
1951,1248,1
1951,440,1
2013,440,5
2023,1764,11
2023,1432,1
2024,2024,1
2024,2024,2
2026,664,3
2027,664,3
2046,1385,1
1907,1357,1
1908,1340,1
1914,852,1
1917,1348,2
1917,1015,1
1918,341,6
1918,341,5
1918,1918,2
1918,1639,4
1918,519,8
1918,440,27
1924,1557,1
1925,1410,2
1925,1114,1
1926,276,1
1930,535,1
1935,130,1
1939,440,1
1943,1220,2
1943,535,1
1943,2115,1
1943,1220,1
1944,2199,1
1944,440,2
1950,735,1
1953,1183,1
1954,358,1
1954,1872,1
1954,972,1
1954,2157,1
1954,851,1
1954,705,2
1954,2050,1
1954,358,1
1954,370,1
1954,431,2
1955,1076,2
1955,1220,1
1955,370,2
1955,195,1
1955,2115,1
1955,2096,1
1955,1348,5
1955,2115,5
1958,1715,2
1974,1452,1
1990,593,2
1993,1993,2
1996,288,1
2010,216,1
2010,1209,2
2010,1076,1
2010,1076,4
2008,596,54
2012,1677,1
2014,1731,1
2019,1584,1
2021,1715,3
2032,1715,4
2032,1168,32
2033,760,1
2052,440,1
2055,2055,11
2057,1522,1
2059,742,1
2060,807,2
2061,1444,1
2061,1801,3
2061,1220,3
2061,276,1
2061,1248,2
2072,484,1
2078,1183,1
2080,140,1
2081,782,1
2082,2210,1
2083,600,1
2085,1114,2
2120,1530,6
2120,0,4
2120,1235,2
2120,1373,3
2120,342,4
2120,2050,4
2120,1715,4
2120,1633,6
2120,188,9
2120,1633,5
2120,1633,1
2120,1011,7
2094,1522,1
2100,102,2
2102,2115,1
2101,1509,1
2109,1183,2
2109,565,2
2109,2115,1
2109,1183,1
2109,1522,2
2123,664,1
2123,664,1
2123,1385,1
2122,507,1
2125,941,1
2128,681,1
2132,437,1
2131,585,2
2135,565,6
2136,1938,1
2136,1460,1
2136,657,3
2137,1733,3
2152,104,1
2155,730,1
2156,2145,1
2160,758,1
2161,535,1
2177,2099,1
2181,2181,1
2183,440,5
2185,982,2
2203,1537,1
2217,440,5
2227,281,1
2230,851,4
2230,440,1
2230,2115,1
2230,832,1
2230,1998,1
2230,941,3
2230,1220,1
2230,1220,1
2230,75,1
2230,600,1
2230,1096,1
2230,1494,1
2230,298,1
2230,358,1
2230,398,1
2231,2188,1
2231,1444,2
2273,431,2
2275,1168,132
2275,1168,22
2275,1193,1
2275,831,10
2275,2275,3
2284,1494,1
2239,1610,5
2239,2151,3
2239,1633,3
2239,1220,3
2239,2272,3
2239,1448,3
2239,1496,3
2239,1183,3
2239,1313,3
2239,2115,3
2239,600,3
2239,1220,3
2239,600,4
2239,276,3
2239,1355,3
2239,734,1
2239,2235,4
2239,137,4
2239,2167,4
2243,600,1
2243,1460,3
2243,1460,2
2258,1185,1
2262,1559,10
2263,0,46
2263,0,5
2263,0,4
2278,1221,1
2286,2030,6
2289,472,1
2290,459,2
2291,1940,1
2293,276,1
2313,1162,1
2301,1701,1
2304,1005,1
2306,2331,8
2306,64,3
2306,1839,5
2307,2347,38
2308,1181,2
2318,1035,3
2318,215,1
2319,1022,2
2327,681,1
2327,1114,1
2327,600,1
2327,1460,1
2329,484,4
2328,253,1
2341,687,3
2341,190,1
2341,1975,1
2341,398,1
2341,137,1
2341,1076,1
2343,2343,11
2349,1676,1
2351,2351,1
2355,600,1
2359,657,1
2360,1522,1
2363,459,2
2363,796,1
2363,1163,1
2363,374,1
2363,1103,1
2363,2276,4
2363,358,1
6,782,1
11,1703,2
1,1220,1
1,535,2
4,1548,1
4,2115,2
2,1183,2
8,400,2
12,334,1
16,575,3
21,2252,1
22,1695,1
119,1096,3
119,2115,1
62,444,4
62,664,1
62,1094,3
65,1139,1
69,354,1
71,1715,23
78,78,1
83,2206,2
84,1419,1
87,87,1
88,358,1
93,1715,1
94,276,1
95,276,1
95,2224,3
95,535,2
102,366,127
103,750,3
108,1367,1
110,26,2
112,1586,3
112,681,1
112,681,1
112,851,1
112,1390,1
112,1856,1
112,1705,1
112,2115,1
112,1038,1
112,1856,1
112,1221,3
117,2277,1
118,1076,2
118,1348,1
126,755,10
129,1522,62
129,519,4
129,484,1
129,536,9
132,444,4
133,1920,2
139,1940,1
144,2176,67
144,1096,15
144,1295,5
144,2039,14
144,1299,4
144,593,15
144,965,6
144,1901,3
144,77,8
146,2098,1
147,483,1
148,131,1
149,1774,85
149,1078,2
150,1460,17
151,2210,3
152,1608,1
152,657,1
152,1608,5
152,593,2
152,535,1
152,593,1
152,1445,1
154,1385,1
157,2261,1
157,1655,3
157,882,3
159,159,4
159,159,2
159,159,2
160,1385,103
160,276,49
160,1385,30
160,2139,3
160,440,18
165,759,4
165,2005,12
166,963,2
167,387,1
171,459,1
171,1224,1
171,2172,1
172,1220,1
173,1526,7
178,26,2
179,417,2
180,500,2
180,26,3
183,1523,1
186,1895,1
186,1978,2
191,941,1
194,1460,1
197,1444,1
198,1460,1
201,201,1
204,1114,1
208,2099,9
214,214,1
220,2017,14
221,1444,2
223,1677,1
224,1143,3
228,2036,1
232,1220,1
238,440,1
238,440,14
240,1284,1
240,536,2
240,1152,1
240,298,1
240,440,4
240,1779,1
240,321,1
240,2167,1
240,1385,1
240,1114,18
240,1248,1
243,421,1
243,2310,1
243,1522,1
246,1037,1
246,597,4
248,1680,1
251,2115,1
254,1348,1
260,1610,4
261,797,2
263,263,4
263,2348,1
263,34,2
263,402,1
263,1831,1
263,1774,1
263,1895,2
263,1895,1
263,1586,2
263,1522,3
263,2337,2
263,124,3
263,1456,2
263,1522,25
263,2096,6
263,751,1
263,2337,1
266,358,2
268,1715,59
270,1183,1
271,1452,1
271,267,1
279,1724,1
283,283,1
289,2127,2
293,14,1
294,824,2
297,2300,1
300,300,1
302,1955,1
303,303,1
308,2115,1
309,328,1
313,980,1
315,36,3
315,747,1
315,666,1
315,1435,1
315,431,1
315,1522,1
315,253,1
315,1114,1
315,1784,1
315,1534,3
315,664,3
315,1633,3
315,459,1
315,972,1
315,1850,2
316,331,1
317,1221,1
318,318,2
320,298,1
322,1865,2
322,1815,2
322,567,7
327,2186,2
329,2184,3
323,323,3
337,1193,1
339,298,1
344,2147,2
350,1222,3
350,1456,3
362,362,1
367,358,1
369,369,1
371,657,4
371,941,7
371,1639,1
371,298,1
371,1095,4
371,1715,2
371,825,1
371,1723,2
373,784,6
375,375,3
375,1791,6
377,377,2
380,1728,1
384,384,4
385,370,1
389,1096,1
389,1724,1
390,1706,1
390,1497,1
390,535,3
390,600,1
390,1796,1
390,1220,1
390,535,1
390,2115,2
390,653,2
390,2157,1
390,1278,6
390,1348,3
390,1162,1
390,1003,1
390,2074,1
390,965,1
392,392,48
393,358,1
395,600,1
396,535,1
397,781,7
405,405,235
407,18,3
408,1237,1
410,410,2
413,1213,1
413,459,1
413,1715,1
414,1118,1
415,2253,2
417,951,1
417,2234,2
417,1806,1
417,25,3
418,562,1
419,419,1
422,840,8
423,498,6
425,666,3
425,2176,1
426,484,1
426,51,1
426,431,1
429,429,1
432,2151,5
434,2115,1
434,358,1
436,535,1
438,745,2
438,2172,1
441,358,2
441,2151,1
443,2140,1
443,600,1
443,851,1
444,444,15
445,1300,1
448,2063,164
453,1981,4
453,1353,1
453,664,2
453,325,3
454,195,1
456,1633,4
456,670,2
456,1610,11
456,358,15
456,1460,3
456,2126,5
456,941,1
456,1867,2
457,1606,3
461,461,3
465,135,1
465,431,2
465,1522,1
465,325,3
465,840,2
467,216,1
469,469,3
476,1522,1
481,1519,2
481,600,1
481,1689,2
481,1044,4
481,1860,6
481,734,6
481,1515,1
481,1715,68
481,479,2
482,1220,2
488,1221,3
488,2257,1
489,1065,2
490,512,1
490,1141,3
496,851,1
501,635,1
504,565,1
505,459,3
508,2099,2
509,972,1
511,1833,4
514,535,4
523,540,2
523,523,1
526,1732,1
528,2099,1
530,530,2
530,326,5
530,370,3
530,536,4
531,531,18
532,1766,1
532,1131,2
532,484,1
532,561,2
532,532,2
532,796,3
532,2174,1
532,1131,1
532,1906,4
532,459,2
532,852,1
532,1405,1
532,2143,1
533,217,2
537,500,1
538,358,7
539,1695,1
541,1526,1
542,972,4
543,1537,7
544,544,2
548,0,15
548,358,4
548,589,5
548,596,26
548,1186,1
548,0,7
548,1895,5
548,446,4
550,2006,1
551,551,1
557,664,10
557,2139,1
659,1444,1
659,1385,1
553,1527,6
558,444,3
558,558,2
558,444,5
563,1915,1
564,2228,1
566,18,3
569,535,4
574,190,2
575,1443,2
576,576,1
578,26,2
580,580,6
580,1207,3
580,580,3
580,580,2
580,580,3
580,580,2
580,580,2
584,2267,1
587,440,1
588,164,2
588,440,1
588,440,1
591,1710,6
591,1380,4
591,1357,3
591,1715,2
591,2121,2
591,1782,1
591,1223,1
591,2121,2
591,1645,1
595,1076,1
598,1035,1
598,1801,1
604,502,11
610,1035,1
614,1237,3
615,2115,1
615,459,2
615,1522,1
620,636,2
620,535,1
622,417,2
624,290,2
627,1076,1
627,1542,1
628,628,1
629,1183,1
631,935,1
632,1985,1
633,2245,2
639,1628,3
642,1162,2
642,1636,1
642,2159,1
642,36,3
642,1833,2
642,2147,2
643,1346,1
645,2335,1
648,648,1
651,1248,1
652,666,1
658,2099,3
658,2099,2
663,1998,1
668,1998,1
673,535,2
673,535,2
675,964,1
676,676,4
677,417,2
678,440,5
678,958,3
678,1630,2
678,1114,1
680,331,2
682,941,1
683,358,1
686,1864,1
688,374,52
688,284,3
689,941,1
689,689,1
689,383,2
689,1248,1
689,2115,1
689,2115,1
690,2041,3
691,1251,1
693,535,1
693,619,1
695,666,2
702,370,1
706,1226,2
712,275,1
714,535,1
715,1535,2
717,1183,1
719,657,3
720,1555,5
720,720,2
720,720,2
720,720,2
720,720,2
720,720,2
721,732,3
721,607,2
721,732,1
727,2267,4
728,1487,3
729,941,1
731,1071,1
733,2235,1
736,1523,8
736,431,1
736,736,1
739,298,153
739,979,3
741,1348,1
741,1455,1
741,358,1
746,746,1
748,1987,5
748,982,2
748,358,1
748,2141,1
748,1207,2
748,1193,2
748,338,1
748,370,1
748,338,1
748,358,1
749,229,1
753,2115,2
754,1929,3
761,1438,2
765,106,7
767,1051,4
772,2115,1
777,2115,5
777,1311,1
777,2115,3
777,510,4
777,484,1
777,826,1
777,1911,1
777,1220,1
777,1522,1
778,1625,1
779,211,1
785,378,2
788,1920,2
790,134,1
791,791,2
793,2028,8
793,145,1
793,207,1
793,1220,3
793,358,1
793,1220,2
794,1183,1
798,431,2
802,1705,1
802,593,1
804,535,11
806,2339,2
808,1715,1
809,851,1
812,255,3
812,370,1
814,814,1
815,1522,2
816,1235,1
819,2206,3
836,2346,1
837,358,1
837,1516,1
845,845,2
846,562,1
847,852,2
848,43,1
849,206,1
859,540,1
861,861,1
862,606,153
862,862,2
866,866,20
867,1715,6
868,1715,1
869,1028,11
870,1139,2
870,982,12
872,219,1
875,1163,2
876,253,3
877,1076,1
878,2099,1
879,879,6
879,879,4
880,1578,1
880,1414,881
880,636,1
889,2306,3
890,2244,2
898,417,2
901,901,6795
902,1715,5
906,1992,3
906,2049,2
906,1119,2
906,1119,2
906,1119,2
906,1119,2
906,1119,2
906,1119,1
906,2049,1
910,459,3
911,666,2
911,2223,1
914,1257,1
915,941,1
916,1402,1
924,162,8
925,477,1
925,440,2
925,885,1
925,77,1
928,1715,6
929,2151,1
930,930,2
933,253,2
934,1522,1
936,1715,1
940,1402,1
940,1522,1
942,664,6
942,306,4
942,2310,1
942,1526,1
943,430,4
944,664,21
944,1639,2
945,2115,1
945,1220,1
945,600,1
952,2265,1
953,1460,1
954,954,4
956,2357,2
957,1237,3
960,1522,29
960,850,35
960,1532,5
960,960,5
960,811,3
960,586,21
960,965,8
960,164,3
960,1221,6
960,1526,7
960,2115,5
960,871,5
960,1348,1
